vol;Honduras;-0.021728702
b_t;India;-0.009701752
cmt;India;-0.012342452
mil;India;-0.012812887
oap;India;-0.064891875
ofd;India;-0.030426473
omt;India;-0.047023281
pdr;India;-0.056000058
sgr;India;-0.033409628
v_f;India;-0.051360492
vol;India;-0.015953541
b_t;Indonesia;-0.005517139
cmt;Indonesia;-0.02726559
mil;Indonesia;-0.013809681
oap;Indonesia;-0.055478777
ofd;Indonesia;-0.010737943
omt;Indonesia;-0.007837273
pdr;Indonesia;-0.05483534
sgr;Indonesia;-0.028263497
v_f;Indonesia;-0.048713709
vol;Indonesia;-0.018638521
b_t;Iraq;-0.013914544
cmt;Iraq;-0.035638373
mil;Iraq;-0.032410263
oap;Iraq;-0.065019189
ofd;Iraq;-0.025227997
omt;Iraq;-0.038313279
pdr;Iraq;-0.080796424
sgr;Iraq;-0.02337344
v_f;Iraq;-0.050989091
vol;Iraq;-0.034046224
b_t;Jamaica;-0.002050782
cmt;Jamaica;-0.01944943
mil;Jamaica;-0.008600544
oap;Jamaica;-0.061347725
ofd;Jamaica;-0.007798733
omt;Jamaica;-0.036335565
pdr;Jamaica;-0.04961402
sgr;Jamaica;-0.026783538
v_f;Jamaica;-0.05258169
vol;Jamaica;-0.02089607
b_t;Jordan;-0.004592235
cmt;Jordan;-0.022199012
mil;Jordan;-0.019197592
oap;Jordan;-0.052474812
ofd;Jordan;-0.008150022
omt;Jordan;-0.004872749
pdr;Jordan;-0.089623852
sgr;Jordan;-0.01891108
v_f;Jordan;-0.050442742
vol;Jordan;-0.015369022
b_t;Kazakhstan;-0.002253071
cmt;Kazakhstan;-0.011933642
mil;Kazakhstan;-0.018396697
oap;Kazakhstan;-0.060625134
ofd;Kazakhstan;-0.006345602
omt;Kazakhstan;-0.01082378
pdr;Kazakhstan;-0.052650002
sgr;Kazakhstan;-0.018581933
v_f;Kazakhstan;-0.047815535
vol;Kazakhstan;-0.014206477
b_t;Kenya;-0.002208066
cmt;Kenya;-0.000450921
mil;Kenya;-0.005547564
oap;Kenya;-0.060777034
ofd;Kenya;-0.005301302
omt;Kenya;-0.000495863
pdr;Kenya;-0.062981815
sgr;Kenya;-0.053713875
v_f;Kenya;-0.052885945
vol;Kenya;-0.019092043
b_t;Kyrgyz Republic;-0.007940548
cmt;Kyrgyz Republic;-0.028871162
mil;Kyrgyz Republic;-0.048376062
oap;Kyrgyz Republic;-0.06310084
ofd;Kyrgyz Republic;-0.015681133
omt;Kyrgyz Republic;-0.036879741
pdr;Kyrgyz Republic;-0.06156925
sgr;Kyrgyz Republic;-0.041550441
v_f;Kyrgyz Republic;-0.057871832
vol;Kyrgyz Republic;-0.014050401
b_t;Lao PDR;-0.016341091
cmt;Lao PDR;-0.049630423
mil;Lao PDR;-0.015294747
oap;Lao PDR;-0.068040542
ofd;Lao PDR;-0.021323144
omt;Lao PDR;-0.05807342
pdr;Lao PDR;-0.052141758
sgr;Lao PDR;-0.027121764
v_f;Lao PDR;-0.049610429
vol;Lao PDR;-0.030292434
b_t;Latvia;-0.006366338
cmt;Latvia;-0.017298995
mil;Latvia;-0.009330707
oap;Latvia;-0.058022168
ofd;Latvia;-0.009358329
omt;Latvia;-0.015938873
pdr;Latvia;-0.049051208
sgr;Latvia;-0.015877966
v_f;Latvia;-0.04968117
vol;Latvia;-0.021048483
b_t;Lesotho;-0.003160059
cmt;Lesotho;-0.024384055
mil;Lesotho;-0.007546645
oap;Lesotho;-0.051834946
ofd;Lesotho;-0.007011531
omt;Lesotho;-0.03227304
pdr;Lesotho;-0.058330597
sgr;Lesotho;-0.008624758
v_f;Lesotho;-0.048553097
vol;Lesotho;-0.012110367
b_t;Liberia;-0.005062536
cmt;Liberia;-0.009296238
mil;Liberia;-0.015596588
oap;Liberia;-0.058768862
ofd;Liberia;-0.020409441
omt;Liberia;-0.017912663
pdr;Liberia;-0.051325087
sgr;Liberia;-0.028106795
v_f;Liberia;-0.058308798
vol;Liberia;-0.019880985
b_t;Lithuania;-0.005960252
cmt;Lithuania;-0.019401109
mil;Lithuania;-0.010951501
oap;Lithuania;-0.055313247
ofd;Lithuania;-0.010680547
omt;Lithuania;-0.018562729
pdr;Lithuania;-0.049328682
sgr;Lithuania;-0.014481232
v_f;Lithuania;-0.050138306
vol;Lithuania;-0.023378376
b_t;Madagascar;-0.018676346
cmt;Madagascar;-0.02059888
mil;Madagascar;-0.016654727
oap;Madagascar;-0.057501313
ofd;Madagascar;-0.018468843
omt;Madagascar;-0.019369854
pdr;Madagascar;-0.055108979
sgr;Madagascar;-0.019615679
v_f;Madagascar;-0.049745928
vol;Madagascar;-0.02348823
b_t;Malawi;-0.011422438
cmt;Malawi;-0.046408724
mil;Malawi;-0.011134469
oap;Malawi;-0.074900029
ofd;Malawi;-0.031674622
omt;Malawi;-0.043363504
pdr;Malawi;-0.052262554
sgr;Malawi;-0.01195785
v_f;Malawi;-0.049511308
vol;Malawi;-0.015041465
b_t;Maldives;-0.008975978
cmt;Maldives;-0.052580031
mil;Maldives;-0.034171991
oap;Maldives;-0.070911038
ofd;Maldives;-0.021708455
omt;Maldives;-0.044234258
pdr;Maldives;-0.055044395
sgr;Maldives;-0.047161567
v_f;Maldives;-0.051608553
vol;Maldives;-0.030034253
b_t;Mali;-0.005062536
cmt;Mali;-0.009296238
mil;Mali;-0.015596588
oap;Mali;-0.058768862
ofd;Mali;-0.020409441
omt;Mali;-0.017912663
pdr;Mali;-0.051325087
sgr;Mali;-0.028106795
v_f;Mali;-0.058308798
vol;Mali;-0.019880985
b_t;Mauritania;-0.005062536
cmt;Mauritania;-0.009296238
mil;Mauritania;-0.015596588
oap;Mauritania;-0.058768862
ofd;Mauritania;-0.020409441
omt;Mauritania;-0.017912663
